id,название,город,статус_координат,адрес (заполнить)
36,Dolce Gelato,Владимир,ПРИМЕРНО (центр города),"Владимир, ул. 850-летия, 7"
34,Hot22A,Владимир,ПРИМЕРНО (центр города),"Владимир, Большая Московская ул., 22А"
29,Владимирский или Покровский пряник,Владимир,ПРИМЕРНО (центр города),"Владимир, Большая Московская ул., 9"
26,Вознесенская слобода,Владимир,ТОЧНО,"Владимир, ул. Вознесенская, 14Б"
30,Гастробистро Lucky Duck,Владимир,ПРИМЕРНО (центр города),"Владимир, ул. Девическая, 11"
31,Гостиная Вместе,Владимир,ПРИМЕРНО (центр города),"Владимир, Октябрьский проспект, 16"
27,Гостиница Владимир,Владимир,ТОЧНО,"Владимир, Большая Московская ул., 74"
28,Дом купца Белова,Владимир,ТОЧНО,"Владимир, Большая Московская ул., 22"
35,Кофейный двор,Владимир,ТОЧНО,"Владимир, Большая Московская ул., 22"
37,КуртошКофе,Владимир,ПРИМЕРНО (центр города),"Владимир, ул. Гагарина, 5а"
33,Полли,Владимир,ТОЧНО,"Владимир, Октябрьский проспект, 7"
32,Птичка,Владимир,ПРИМЕРНО (центр города),"Владимир, Георгиевская ул., 3А"
235,Белая ворона,Иркутск,ТОЧНО,"Иркутск, ул. Карла Маркса, 37"
63,ARSHA,Коломна,ПРИМЕРНО (центр города),"Коломна, Уманская ул., 3л"
59,La Ferme de Reve,Коломна,ПРИМЕРНО (центр города),"Московская область, Коломенский городской округ, д. Доношово, ул. Сельскохозяйственная, 1"
72,Match или Без пафоса,Коломна,ПРИМЕРНО (центр города),"Коломна, ул. Октябрьской революции, 340"
66,SKY SPA,Коломна,ПРИМЕРНО (центр города),"Коломна, Уманская ул., 3л"
64,«Арткоммуналка. Ерофеев и другие»,Коломна,ТОЧНО,"Коломна, ул. Октябрьской Революции, 205"
75,Гербергъ 1-го нумера,Коломна,ПРИМЕРНО (центр города),"Коломна, ул. Лажечникова, 10"
62,Два гуся,Коломна,ТОЧНО,"Коломна, Уманская ул., 3Д/1"
61,Дом Куприна,Коломна,ТОЧНО,"Коломна, ул. Лазарева, 10"
68,Лажечников,Коломна,ТОЧНО,"Коломна, ул. Лажечникова, 13"
65,"Музей ""Шелковая фабрика""",Коломна,ПРИМЕРНО (центр города),"Коломна, Уманская ул., 3"
76,Музей коломенской пастилы,Коломна,ПРИМЕРНО (центр города),"Коломна, Посадская ул., 13а"
60,Особняк «1825»,Коломна,ПРИМЕРНО (центр города),"Коломна, Большая Запрудная ул., 22"
67,"Прогуляться по арт-кварталу ""Патефонка""",Коломна,ПРИМЕРНО (центр города),"Коломна, Уманская ул., 3Д"
71,Раклет бар Малевич,Коломна,ПРИМЕРНО (центр города),"Коломна, Уманская ул., 3л"
70,Садовое кафе 1890,Коломна,ПРИМЕРНО (центр города),"Коломна, ул. Зайцева, 14"
74,Сидрерия,Коломна,ПРИМЕРНО (центр города),"Коломна, Уманская ул., 3д (ресторан-сидрерия «Устынь»)"
73,Таки русское бистро Марфа Соломоновна,Коломна,ПРИМЕРНО (центр города),"Коломна, ул. Пушкина, 2"
69,Трактир Рыба,Коломна,ПРИМЕРНО (центр города),"Коломна, Москворецкая ул., 7"
115,Country Textile,Кострома,ПРИМЕРНО (центр города),"Кострома, ул. Ленина, 1а"
116,Freedomtag,Кострома,ПРИМЕРНО (центр города),"Кострома, Табачные Ряды, 1"
117,PROVANS BELIMOVA,Кострома,ПРИМЕРНО (центр города),"Кострома, ул. Красные Ряды, 1"
113,TUTTO BENE,Кострома,ПРИМЕРНО (центр города),"Кострома, Овражная ул., 18"
108,«Всплыли! Снимай!»,Кострома,ТОЧНО,"Кострома, Сенная ул., 22/22"
101,Бутик-отель #19,Кострома,ПРИМЕРНО (центр города),"Кострома, ул. Нижняя Дебря, 24"
100,Бутик-отель Cruise,Кострома,ПРИМЕРНО (центр города),"Кострома, Нагорный проезд, 26"
111,Дом городского головы,Кострома,ТОЧНО,"Кострома, ул. Свердлова, 10"
107,Кофейня «КофеТвик»,Кострома,ПРИМЕРНО (центр города),"Кострома, Советская ул., 36"
118,Лепота,Кострома,ТОЧНО,"Кострома, Горная ул., 3"
112,Музей сладостей «Русские сласти»,Кострома,ПРИМЕРНО (центр города),"Кострома, ул. Чайковского, 19а"
110,Музей сыра,Кострома,ТОЧНО,"Кострома, ул. Чайковского, 19"
99,Отель «Островский»,Кострома,ПРИМЕРНО (центр города),"Кострома, проспект Мира, 4Б"
