id,название,город,статус_координат,адрес (заполнить)
36,Dolce Gelato,Владимир,ПРИМЕРНО (центр города),
34,Hot22A,Владимир,ПРИМЕРНО (центр города),
29,Владимирский или Покровский пряник,Владимир,ПРИМЕРНО (центр города),
26,Вознесенская слобода,Владимир,ТОЧНО,
30,Гастробистро Lucky Duck,Владимир,ПРИМЕРНО (центр города),
31,Гостиная Вместе,Владимир,ПРИМЕРНО (центр города),
27,Гостиница Владимир,Владимир,ТОЧНО,
28,Дом купца Белова,Владимир,ТОЧНО,
35,Кофейный двор,Владимир,ТОЧНО,
37,КуртошКофе,Владимир,ПРИМЕРНО (центр города),
33,Полли,Владимир,ТОЧНО,
32,Птичка,Владимир,ПРИМЕРНО (центр города),
235,Белая ворона,Иркутск,ТОЧНО,
63,ARSHA,Коломна,ПРИМЕРНО (центр города),
59,La Ferme de Reve,Коломна,ПРИМЕРНО (центр города),
72,Match или Без пафоса,Коломна,ПРИМЕРНО (центр города),
66,SKY SPA,Коломна,ПРИМЕРНО (центр города),
64,«Арткоммуналка. Ерофеев и другие»,Коломна,ТОЧНО,
75,Гербергъ 1-го нумера,Коломна,ПРИМЕРНО (центр города),
62,Два гуся,Коломна,ТОЧНО,
61,Дом Куприна,Коломна,ТОЧНО,
68,Лажечников,Коломна,ТОЧНО,
65,"Музей ""Шелковая фабрика""",Коломна,ПРИМЕРНО (центр города),
76,Музей коломенской пастилы,Коломна,ПРИМЕРНО (центр города),
60,Особняк «1825»,Коломна,ПРИМЕРНО (центр города),
67,"Прогуляться по арт-кварталу ""Патефонка""",Коломна,ПРИМЕРНО (центр города),
71,Раклет бар Малевич,Коломна,ПРИМЕРНО (центр города),
70,Садовое кафе 1890,Коломна,ПРИМЕРНО (центр города),
74,Сидрерия,Коломна,ПРИМЕРНО (центр города),
73,Таки русское бистро Марфа Соломоновна,Коломна,ПРИМЕРНО (центр города),
69,Трактир Рыба,Коломна,ПРИМЕРНО (центр города),
115,Country Textile,Кострома,ПРИМЕРНО (центр города),
116,Freedomtag,Кострома,ПРИМЕРНО (центр города),
117,PROVANS BELIMOVA,Кострома,ПРИМЕРНО (центр города),
113,TUTTO BENE,Кострома,ПРИМЕРНО (центр города),
108,«Всплыли! Снимай!»,Кострома,ТОЧНО,
101,Бутик-отель #19,Кострома,ПРИМЕРНО (центр города),
100,Бутик-отель Cruise,Кострома,ПРИМЕРНО (центр города),
111,Дом городского головы,Кострома,ТОЧНО,
107,Кофейня «КофеТвик»,Кострома,ПРИМЕРНО (центр города),
118,Лепота,Кострома,ТОЧНО,
112,Музей сладостей «Русские сласти»,Кострома,ПРИМЕРНО (центр города),
110,Музей сыра,Кострома,ТОЧНО,
99,Отель «Островский»,Кострома,ПРИМЕРНО (центр города),
104,Ресторан «Гроза»,Кострома,ТОЧНО,
105,Ресторан «Сыровар»,Кострома,ТОЧНО,
114,Сумароковский заказник,Кострома,ТОЧНО,
109,Театр Островского,Кострома,ТОЧНО,
103,Терем Асташево,Кострома,ПРИМЕРНО (центр города),
106,Трактир «Калачная»,Кострома,ТОЧНО,
102,Эко-отель Лунный кролик,Кострома,ПРИМЕРНО (центр города),
233,Гай-Кодзор,Краснодарский край,ТОЧНО,
234,Долина Лефкадия,Краснодарский край,ТОЧНО,
231,Имение Сикоры,Краснодарский край,ТОЧНО,
232,Скалистый берег,Краснодарский край,ТОЧНО,
230,Шато де Талю,Краснодарский край,ТОЧНО,
210,AYU,Москва,ТОЧНО,
215,Amber,Москва,ТОЧНО,
223,Eva,Москва,ТОЧНО,
217,Fullmoon,Москва,ТОЧНО,
218,Hachiko,Москва,ТОЧНО,
214,Hibiki,Москва,ТОЧНО,
221,Ikura Izakaya Nikkei,Москва,ТОЧНО,
213,Jun,Москва,ТОЧНО,
227,Kefi,Москва,ТОЧНО,
236,La Bottega Siciliana,Москва,ТОЧНО,
225,Meraki,Москва,ТОЧНО,
228,Molon Lave,Москва,ТОЧНО,
237,Olluco,Москва,ТОЧНО,
222,Pafos,Москва,ТОЧНО,
226,Papandopulo,Москва,ТОЧНО,
239,Sangre Fresca,Москва,ТОЧНО,
238,Savoy,Москва,ТОЧНО,
216,Self Edge Japanese,Москва,ТОЧНО,
212,TAJIRI GO,Москва,ТОЧНО,
220,Tabi,Москва,ТОЧНО,
224,The Greeks,Москва,ТОЧНО,
219,Tottori,Москва,ТОЧНО,
211,UCHIWA,Москва,ТОЧНО,
229,Кухня Кипра,Москва,ТОЧНО,
81,Hilton 4*,Нижний Новгород,ПРИМЕРНО (центр города),
78,Mercure 4*,Нижний Новгород,ПРИМЕРНО (центр города),
77,Sheraton 5*,Нижний Новгород,ПРИМЕРНО (центр города),
90,Бар Медные трубы,Нижний Новгород,ТОЧНО,
80,Горки 4*,Нижний Новгород,ТОЧНО,
79,Кулибин  5*,Нижний Новгород,ПРИМЕРНО (центр города),
91,"Культурный центр ""Пакгаузы""",Нижний Новгород,ПРИМЕРНО (центр города),
89,Министерство завтраков,Нижний Новгород,ТОЧНО,
95,Музей -квартира М.Горького,Нижний Новгород,ТОЧНО,
92,Музей Кремля,Нижний Новгород,ПРИМЕРНО (центр города),
94,Музей современного искусства «Арсенал»,Нижний Новгород,ТОЧНО,
96,Мультимедийное пространство ЦЕХ,Нижний Новгород,ПРИМЕРНО (центр города),
97,Парк 800-летия Нижнего Новгорода,Нижний Новгород,ПРИМЕРНО (центр города),
85,"Ресторан ""Escape""",Нижний Новгород,ТОЧНО,
84,"Ресторан ""Red Wall""",Нижний Новгород,ТОЧНО,
83,"Ресторан ""YALE""",Нижний Новгород,ТОЧНО,
82,"Ресторан ""Парк Культуры""",Нижний Новгород,ТОЧНО,
87,"Ресторан ""Пяткин""",Нижний Новгород,ТОЧНО,
